mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.30472965240478517,0.05564456943992984,0.023385000228881837,0.006783133883399854,,100,"{'model__max_depth': None, 'model__n_estimators': 100}",0.9224137931034483,0.896551724137931,0.9275862068965517,0.9224137931034483,0.9310344827586207,0.9200000000000002,0.012171974203257083,19,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9818965517241379,0.9806034482758621,0.9818965517241379,0.0009829098492233651,0.9223304437877746,0.8958383219194483,0.9272401433691757,0.9223470817676304,0.9303855201881992,0.9196283022064456,0.01228262478525805,19,0.9831858283739145,0.9827586206896551,0.9809917509263915,0.9818760653205652,0.9806034158425131,0.981883136230608,0.0009895233082968284
0.5824144363403321,0.024287039877726433,0.0362739086151123,0.006648457162487044,,200,"{'model__max_depth': None, 'model__n_estimators': 200}",0.9224137931034483,0.9,0.9258620689655173,0.9241379310344827,0.9310344827586207,0.9206896551724139,0.010739594139584425,18,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9223304437877746,0.8992512728361786,0.9255253390030429,0.9240647948678276,0.9304314449868659,0.920320659096338,0.010874681685607466,18,0.9831862533126221,0.982758569436889,0.9809977520459807,0.9823119402399454,0.9806031563718167,0.9819715342814508,0.0010031503200274266
0.8164382457733155,0.04630341292484104,0.04910087585449219,0.008860802137207201,,300,"{'model__max_depth': None, 'model__n_estimators': 300}",0.9224137931034483,0.8982758620689655,0.9258620689655173,0.9258620689655173,0.9327586206896552,0.9210344827586207,0.011865276230403647,16,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9223304437877746,0.8975446034269563,0.9255253390030429,0.9257824240638735,0.93214848143982,0.9206662583442935,0.011991728007594212,17,0.9831853784154003,0.982758569436889,0.981000581447723,0.9823119402399454,0.9806031563718167,0.981971925182355,0.0010023896327156425
1.0996589183807373,0.033465075304374925,0.06454706192016602,0.012209558980530374,,400,"{'model__max_depth': None, 'model__n_estimators': 400}",0.9241379310344827,0.9,0.9258620689655173,0.9241379310344827,0.9327586206896552,0.9213793103448277,0.01115238733020429,13,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9240647948678276,0.8992512728361786,0.9255253390030429,0.9240647948678276,0.93214848143982,0.9210109366029393,0.0112832601837423,15,0.9831858283739145,0.9827585053705026,0.9809991809991809,0.9823119402399454,0.9806030122184302,0.9819716934403948,0.0010027994086986426
0.2191770553588867,0.025690529674849968,0.02006840705871582,0.007029679361511499,5,100,"{'model__max_depth': 5, 'model__n_estimators': 100}",0.9293103448275862,0.9206896551724137,0.9310344827586207,0.9396551724137931,0.9517241379310345,0.9344827586206896,0.010515828056535817,1,0.9357758620689656,0.9379310344827586,0.9353448275862069,0.9331896551724138,0.9301724137931034,0.9344827586206896,0.0026289570141339465,0.9292495633882853,0.9201427134715771,0.930670937974396,0.9395601287399031,0.9513626834381552,0.9341972054024634,0.010562736859612967,1,0.935762865220018,0.9379309883553719,0.9352429950784676,0.9331234421118859,0.9301724137931034,0.9344465409117694,0.002627819475235465
0.3995483875274658,0.028776107367457338,0.025467348098754884,0.0055974690991578875,5,200,"{'model__max_depth': 5, 'model__n_estimators': 200}",0.9293103448275862,0.9206896551724137,0.9310344827586207,0.9396551724137931,0.9517241379310345,0.9344827586206896,0.010515828056535817,1,0.9357758620689656,0.9379310344827586,0.9353448275862069,0.9331896551724138,0.9301724137931034,0.9344827586206896,0.0026289570141339465,0.9292495633882853,0.9201427134715771,0.930670937974396,0.9395601287399031,0.9513626834381552,0.9341972054024634,0.010562736859612967,1,0.935762865220018,0.9379309883553719,0.9352429950784676,0.9331234421118859,0.9301724137931034,0.9344465409117694,0.002627819475235465
0.585715913772583,0.03979781047070469,0.027765417098999025,0.004304600617664554,5,300,"{'model__max_depth': 5, 'model__n_estimators': 300}",0.9293103448275862,0.9206896551724137,0.9310344827586207,0.9396551724137931,0.9517241379310345,0.9344827586206896,0.010515828056535817,1,0.9357758620689656,0.9379310344827586,0.9353448275862069,0.9331896551724138,0.9301724137931034,0.9344827586206896,0.0026289570141339465,0.9292495633882853,0.9201427134715771,0.930670937974396,0.9395601287399031,0.9513626834381552,0.9341972054024634,0.010562736859612967,1,0.935762865220018,0.9379309883553719,0.9352429950784676,0.9331234421118859,0.9301724137931034,0.9344465409117694,0.002627819475235465
0.7500409126281739,0.04345032997899422,0.036901426315307614,0.0033617029237407647,5,400,"{'model__max_depth': 5, 'model__n_estimators': 400}",0.9293103448275862,0.9206896551724137,0.9310344827586207,0.9396551724137931,0.9517241379310345,0.9344827586206896,0.010515828056535817,1,0.9357758620689656,0.9379310344827586,0.9353448275862069,0.9331896551724138,0.9301724137931034,0.9344827586206896,0.0026289570141339465,0.9292495633882853,0.9201427134715771,0.930670937974396,0.9395601287399031,0.9513626834381552,0.9341972054024634,0.010562736859612967,1,0.935762865220018,0.9379309883553719,0.9352429950784676,0.9331234421118859,0.9301724137931034,0.9344465409117694,0.002627819475235465
0.2817254543304443,0.06170122411131201,0.01802506446838379,0.008565851476622697,10,100,"{'model__max_depth': 10, 'model__n_estimators': 100}",0.9275862068965517,0.9206896551724137,0.9310344827586207,0.9379310344827586,0.9517241379310345,0.9337931034482759,0.010549695545364404,5,0.940948275862069,0.9422413793103448,0.9375,0.9383620689655172,0.9344827586206896,0.9387068965517242,0.0027179108224886974,0.9275163951011081,0.9201876248938029,0.930670937974396,0.9378245747772642,0.9513626834381552,0.9335124432369453,0.010571689391426713,5,0.9409363257392112,0.9422413363862487,0.9373905521152,0.9383136472874163,0.9344819795716952,0.9386727682199542,0.0027274210118106066
0.6192706108093262,0.0526032932186731,0.03889689445495605,0.007180966106883354,10,200,"{'model__max_depth': 10, 'model__n_estimators': 200}",0.9258620689655173,0.9206896551724137,0.9310344827586207,0.9379310344827586,0.9517241379310345,0.9334482758620689,0.010772758173664364,6,0.9405172413793104,0.9418103448275862,0.9370689655172414,0.9387931034482758,0.934051724137931,0.9384482758620688,0.0027179108224886957,0.9257824240638735,0.9201876248938029,0.930670937974396,0.9378245747772642,0.9513626834381552,0.9331656490294984,0.01078890499542199,6,0.9405044632802377,0.9418102475275394,0.9369610272047263,0.9387464895996953,0.9340516138645445,0.9384147682953486,0.002726045601800398
0.9867024898529053,0.17334312828899967,0.04722704887390137,0.0031137216093800814,10,300,"{'model__max_depth': 10, 'model__n_estimators': 300}",0.9258620689655173,0.9206896551724137,0.9310344827586207,0.9379310344827586,0.9517241379310345,0.9334482758620689,0.010772758173664364,6,0.9418103448275862,0.9422413793103448,0.9370689655172414,0.9396551724137931,0.9336206896551724,0.9388793103448275,0.00320708193754107,0.9257824240638735,0.9201876248938029,0.930670937974396,0.9378245747772642,0.9513626834381552,0.9331656490294984,0.01078890499542199,6,0.9417985691590767,0.942241207613578,0.9369610272047263,0.9396092150982912,0.9336204923320224,0.9388461022815389,0.003215171828670924
1.3011738300323485,0.1395834651338569,0.06612882614135743,0.011534191997009812,10,400,"{'model__max_depth': 10, 'model__n_estimators': 400}",0.9258620689655173,0.9206896551724137,0.9310344827586207,0.9379310344827586,0.9517241379310345,0.9334482758620689,0.010772758173664364,6,0.9418103448275862,0.9422413793103448,0.9370689655172414,0.9396551724137931,0.934051724137931,0.9389655172413793,0.003067318426665026,0.9257824240638735,0.9201876248938029,0.930670937974396,0.9378245747772642,0.9513626834381552,0.9331656490294984,0.01078890499542199,6,0.9417985691590767,0.942241207613578,0.9369610272047263,0.9396092150982912,0.9340516138645445,0.9389323265880434,0.0030766734022460774
0.35021629333496096,0.023834328344896308,0.026499176025390626,0.004620277444357218,15,100,"{'model__max_depth': 15, 'model__n_estimators': 100}",0.9224137931034483,0.903448275862069,0.9224137931034483,0.9258620689655173,0.9396551724137931,0.9227586206896552,0.011560727320165666,11,0.9810344827586207,0.9810344827586207,0.978448275862069,0.9814655172413793,0.978448275862069,0.9800862068965518,0.0013465947717080573,0.9223304437877746,0.9027824337914852,0.9220967611952327,0.9257983225779578,0.9391470393385912,0.9224310001382083,0.011635745044423884,11,0.9810293932899656,0.981034355907553,0.9784014704874714,0.9814461270929136,0.9784481317131283,0.9800718956982063,0.0013534085179940918
0.5787159919738769,0.07226240569577597,0.03869023323059082,0.006774420030027388,15,200,"{'model__max_depth': 15, 'model__n_estimators': 200}",0.9206896551724137,0.906896551724138,0.9241379310344827,0.9258620689655173,0.9379310344827586,0.923103448275862,0.009970229168828235,9,0.9810344827586207,0.9814655172413793,0.9797413793103448,0.9814655172413793,0.9788793103448276,0.9805172413793102,0.00103448275862071,0.920595238095238,0.9062544897275036,0.9238108885943228,0.9257983225779578,0.937428078250863,0.9227774034491771,0.010026014557723579,10,0.9810308738880167,0.9814653485066285,0.9797013696176936,0.9814481421084216,0.978878835526735,0.980504913929499,0.001037165588071024
0.7791982650756836,0.04099012867401853,0.04524993896484375,0.008207541310602369,15,300,"{'model__max_depth': 15, 'model__n_estimators': 300}",0.9206896551724137,0.906896551724138,0.9241379310344827,0.9241379310344827,0.9396551724137931,0.923103448275862,0.01043637651753211,9,0.9814655172413793,0.9814655172413793,0.9797413793103448,0.9823275862068965,0.9788793103448276,0.9807758620689654,0.0012669774531637258,0.920613194634547,0.9062544897275036,0.9238108885943228,0.9240647948678276,0.9391470393385912,0.9227780814325584,0.010472639807717343,9,0.9814617664728911,0.9814652383108471,0.9797029112287166,0.9823119402399454,0.978878835526735,0.980764138355827,0.0012692112969734538
1.0341049671173095,0.039768310062672375,0.057582426071166995,0.0047997108980801255,15,400,"{'model__max_depth': 15, 'model__n_estimators': 400}",0.9206896551724137,0.906896551724138,0.9241379310344827,0.9241379310344827,0.9379310344827586,0.9227586206896552,0.009898413858211932,11,0.9814655172413793,0.9814655172413793,0.9793103448275862,0.9814655172413793,0.9797413793103448,0.9806896551724138,0.0009599593729017528,0.920613194634547,0.9062544897275036,0.9238108885943228,0.924047619047619,0.9373883004881793,0.9224228984984345,0.00993198832402426,12,0.9814617664728911,0.9814652383108471,0.9792702749592517,0.9814491080565282,0.979741194879338,0.9806775165357712,0.0009682906725458354
0.27120242118835447,0.019130416050082318,0.018878889083862305,0.002883025684205586,20,100,"{'model__max_depth': 20, 'model__n_estimators': 100}",0.9224137931034483,0.896551724137931,0.9258620689655173,0.9206896551724137,0.9310344827586207,0.9193103448275863,0.011915277615979988,20,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9818965517241379,0.9806034482758621,0.9818965517241379,0.0009829098492233651,0.9223304437877746,0.8958383219194483,0.9255253390030429,0.920613194634547,0.9303855201881992,0.9189385639066024,0.012019557657020742,20,0.9831858283739145,0.9827586206896551,0.9809917509263915,0.9818760653205652,0.9806034158425131,0.981883136230608,0.0009895233082968284
0.6369157791137695,0.09404595994359313,0.042633438110351564,0.006782697855866996,20,200,"{'model__max_depth': 20, 'model__n_estimators': 200}",0.9224137931034483,0.9,0.9275862068965517,0.9241379310344827,0.9327586206896552,0.9213793103448277,0.011258501874009997,13,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9223304437877746,0.8992512728361786,0.9272401433691757,0.9240647948678276,0.9321924152630017,0.9210158140247916,0.011387523697196634,14,0.9831862533126221,0.982758569436889,0.9809977520459807,0.9823119402399454,0.9806031563718167,0.9819715342814508,0.0010031503200274266
0.8188291549682617,0.04906303136505642,0.05000219345092773,0.0046307426274844925,20,300,"{'model__max_depth': 20, 'model__n_estimators': 300}",0.9224137931034483,0.8982758620689655,0.9258620689655173,0.9241379310344827,0.9344827586206896,0.9210344827586207,0.012113219358793318,16,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9223304437877746,0.8975446034269563,0.9255253390030429,0.9240647948678276,0.9339098727375227,0.9206750107646249,0.01223056902870005,16,0.9831853784154003,0.982758569436889,0.981000581447723,0.9823119402399454,0.9806031563718167,0.981971925182355,0.0010023896327156425
1.0788618087768556,0.04552690553170908,0.05932073593139649,0.0031199317245609566,20,400,"{'model__max_depth': 20, 'model__n_estimators': 400}",0.9224137931034483,0.9017241379310345,0.9258620689655173,0.9241379310344827,0.9327586206896552,0.9213793103448277,0.010436376517532125,13,0.9831896551724137,0.9827586206896551,0.9810344827586207,0.9823275862068965,0.9806034482758621,0.9819827586206896,0.0009979169743784375,0.9223304437877746,0.9010176677175681,0.9255253390030429,0.9240647948678276,0.93214848143982,0.9210173453632067,0.010537765217522728,13,0.9831853784154003,0.9827585053705026,0.9809991809991809,0.9823119402399454,0.9806030122184302,0.9819716034486919,0.0010026904618774784
